spp_code,life_form
ABICON,tree
ACEGLA,tree
ACENEG,tree
ALNINC,tree
ALNOBL,tree
BETOCC,tree
BETOCC,tree
JUNDEP,tree
JUNMON,tree
JUNSCO,tree
PICPUN,tree
PINFLE,tree
PINPON,tree
PINSTR,tree
POPACU,tree
POPANG,tree
POPDEL,tree
POPTRE,tree
PSEMEN,tree
QUEGAM,tree
SALGOO,tree
TAMARISK_SP,tree
ULMPUM,tree
ULMPUM1,tree
AMEPUM,shrub
BRI_SPP,shrub
BRICAL,shrub
CEAFEN,shrub
CERMON,shrub
CLE_SPP,shrub
CLECOL,shrub
CORSER,shrub
CRASUC,shrub
CYLIMB,shrub
ERINAU,shrub
FALPAR,shrub
FORPUB,shrub
JAMAME,shrub
JUNCOM,shrub
PARVIT,shrub
PHIMIC,shrub
PRUVIR,shrub
PTETRI,shrub
QUEPAU,shrub
QUETUR,shrub
QUEUND,shrub
RHUGLA,shrub
RHUTRI,shrub
RIBCER,shrub
RIBES_SP,shrub
RIBLEP,shrub
RIBMON,shrub
ROBNEO,shrub
ROSWOO,shrub
RUBIDA,shrub
RUBPAR,shrub
SAL_SPP,shrub
SALEXI,shrub
SALIRR,shrub
SAMBUCUS_SP,shrub
TOXRYD,shrub
VITARI,shrub
ARTFRI,dshrub
GUTSAR,dshrub
PERCAU,dshrub
OPUPHA,dshrub
OPUPOL,dshrub
OPUPOL_HYS,dshrub
ACHHYM,graminoid
AGR_SPP,graminoid
AGRGIG,graminoid
AGRSTO,graminoid
ARIPUR,graminoid
BOUCUR,graminoid
BOUERI,graminoid
BOUGRA,graminoid
BRO_SPP,graminoid
BROCAR,graminoid
BROCIL,graminoid
BROINE,graminoid
BROLAN,graminoid
BROPOR,graminoid
BROTEC,graminoid
CALCAN,graminoid
CAR_SPP,graminoid
CAR_SPP_S,graminoid
CAR_SPP_T,graminoid
CAR_SPP_WS,graminoid
CAR_SPP_WT,graminoid
CARINO,graminoid
CARINT,graminoid
CARMIC,graminoid
CARPEL,graminoid
CARPRA,graminoid
CARROS,graminoid
CARSIC,graminoid
DACGLO,graminoid
DANSPI,graminoid
ELYCAN,graminoid
ELYELY,graminoid
ELYPSE,graminoid
ELYTRA,graminoid
FESARI,graminoid
FESARU,graminoid
FESTRA,graminoid
GLYSTR,graminoid
GRASS_13_1,graminoid
GRASS_1,graminoid
GRASS_2,graminoid
JUNCUS_SP,graminoid
JUNENS,graminoid
KOEMAC,graminoid
MELPOR,graminoid
MUH_SPP,graminoid
MUHMEX,graminoid
MUHRAC,graminoid
MUNSQU,graminoid
ORYASP,graminoid
PASSMI,graminoid
PHLALP,graminoid
PIPMIC,graminoid
POA_SPP,graminoid
POAFEN,graminoid
POAPRA,graminoid
SCHSCO,graminoid
SPOCON,graminoid
SPOCRY,graminoid
VULOCT,graminoid
ACHMIL,forb
AGRSTR,forb
ALLCER,forb
APOCAN,forb
APOAND,forb
ARARAC,forb
ARTCAM,forb
ARTCAR,forb
ARTDRA,forb
ARTLUD,forb
BAHDIS,forb
BIDFRO,forb
BRIBRA,forb
CAMROT,forb
CERARV,forb
CHAFEN,forb
CHE_SPP,forb
CHEFRE,forb
CHEPRA,forb
CICMAC,forb
CIRPAR,forb
CIRUND,forb
CIRVUL,forb
CONCAN,forb
CONSCO,forb
CORAUR,forb
CRYCIN,forb
DALCAN,forb
DES_SPP,forb
DESPIN,forb
DIECAN,forb
DIECAN_GLA,forb
DRYFIL,forb
EPICIL,forb
EQU_SP,forb
EQUARV,forb
EQUHYE,forb
EQULAE,forb
ERIDIV,forb
ERIFOR,forb
ERIGERON_SP,forb
ERIPOL,forb
ERISUB,forb
FERN,forb
FRAAME,forb
FRAVES,forb
GAL_SPP,forb
GALAPA,forb
GERCAE,forb
GERRIC,forb
GEU_SPP,forb
GEUALE,forb
HELANN,forb
HELMUL,forb
HELPET,forb
HETVIL,forb
HIEFEN,forb
HUMLUP,forb
HYDFEN,forb
HYM_SP,forb
HYMRIC,forb
IPOAGG,forb
IPOLON,forb
LACSER,forb
LAPOCC,forb
LATLAN,forb
LOTWRI,forb
MAI_SPP,forb
MAIRAC,forb
MAISTE,forb
MEL_SPP,forb
MONFIS,forb
OENELA,forb
OXAVIO,forb
PERCAU,forb
PEN_SPP,forb
PENBAR,forb
POLSAW,forb
POTNOR,forb
PSE_SPP,forb
PSEMAC,forb
PSEMON,forb
PTEAQU,forb
RUDHIR,forb
RUDLAC,forb
SMIRAC,forb
SOL_SPP,forb
SOLAME,forb
SOLSPE,forb
SPHCOC,forb
TAROFF,forb
THAFEN,forb
THEMEG,forb
THEMON,forb
THEWRI,forb
TRADUB,forb
TRAPRA,forb
TYPLAT,forb
UNK_MUSTARD_DRY,forb
URTDIO,forb
VALEDU,forb
VERTHA,forb
VICAME,forb
VIOCAN,forb
XANGRA,forb
